Arbitrator_id,Arbitrator_seniority,Arbitrator_background,Arbitrator_total_accepted_cases,Case_nature,Case_dispute_amount,Case_accepted
1,18,Quantity Surveyor,1,Construction_Case,12500,1
1,18,Quantity Surveyor,1,Construction_Case,100000,0
1,18,Quantity Surveyor,1,Construction_Case,72080,0
1,18,Quantity Surveyor,1,Building Management,50000,0
2,18,Engineer,5,Construction_Case,4500,1
2,18,Engineer,5,Construction_Case,4500,1
2,18,Engineer,5,Construction_Case,12500,1
2,18,Engineer,5,Construction_Case,40000,1
2,18,Engineer,5,Building Management,4500,1
2,18,Engineer,5,Construction_Case,49066,0
2,18,Engineer,5,Construction_Case,250000,0
3,16,Nil,2,Construction_Case,4500,1
3,16,Nil,2,Construction_Case,25000,1
4,18,Nil,1,Construction_Case,4500,1
5,13,Accountant,0,Construction_Case,49066,0
8,9,Nil,1,Construction_Case,4500,1
19,16,Engineer,0,Construction_Case,60630,0